Estado,Temperatura,Humedad,Viento,Jugar Tennis
Soleado,Calor,Alta,FALSO,Talvez
Soleado,Calor,Alta,VERDADERO,No
Nublado,Calor,Alta,FALSO,Talvez
Lluvioso,Templada,Alta,FALSO,Si
Lluvioso,Fresca,Normal,FALSO,Si
Lluvioso,Fresca,Normal,VERDADERO,No
Nublado,Fresca,Normal,VERDADERO,Si
Soleado,Templada,Alta,FALSO,No
Soleado,Fresca,Normal,FALSO,Si
Lluvioso,Templada,Normal,FALSO,Si
Soleado,Templada,Normal,VERDADERO,Si
Nublado,Templada,Alta,VERDADERO,Talvez
Nublado,Calor,Normal,FALSO,Si
Lluvioso,Templada,Alta,VERDADERO,No
